,fluxes,reduced_costs
SQDGS_PALM_PALM,0.0,-3.0169824439862483
SQDGS_HDE_PALM,0.0,-5.551115123125783e-17
DGDGS_HDE_PALM,0.0,-0.41544131925076333
DGDGS_HDE_HDE,0.0,-0.41544131925076333
DGDGS_OLE_HDE,0.0,-0.41544131925076333
CDPDAGS_OLE_PALM,0.0,2.42861286636753e-17
PGPS_OLE_PALM,0.0,-0.24432341903073573
PGPP_OLE_PALM,0.0,1.232595164407831e-32
GLUDGS_HDE_PALM,0.0,-0.41544131925076333
GLUDGE_HDE_PALM,0.0,0.0
GLUDGS_HDE_HDE,0.0,-3.394905934846525
GLUDGE_HDE_HDE,0.0,0.0
GLUDGS_OLE_HDE,0.0,-0.4154413192507632
GLUDGE_OLE_HDE,0.0,0.0
GLUDGS_OLE_PALM,0.0,-0.41544131925076333
GLUDGE_OLE_PALM,0.0,0.0
DGDGS_OLE_PALM,0.0,-0.41544131925076333
H2Otcx,0.0,-0.0
GLNTRS,0.0,-0.379753628830539
TYRTRS,0.0,-0.7047556300505778
METTRS,0.0,-5.551115123125783e-17
SERTRS,0.0,-0.22007409092468777
GLYTRS,0.0,-0.14686857211398102
PROTRS,0.0,-0.40400295693658644
CYSTRS,0.0,-5.551115123125783e-17
ARGTRS,0.0,-0.5151838386303473
TRPTRS,0.0,5.551115123125783e-17
PHETRS,0.0,-0.7294624926491918
HISTRS,0.0,-5.551115123125783e-17
ASNTRS,0.0,-5.551115123125783e-17
ASPTRS,0.0,-0.23288505671655962
THRTRS,0.0,-0.30609057552726776
LEUTRS,0.0,-0.5266222009445214
ILETRS,0.0,-0.5147263041377814
LYSTRS,0.0,-0.5151838386303476
ALATRS,0.0,-0.23288505671656085
VALTRS,0.0,-0.41681392272846174
FMETTRS,0.0,-0.048498656212093115
EX_photon410_e,0.0,0.0
EX_photon430_e,0.0,0.0
EX_photon450_e,0.0,0.0
EX_photon470_e,0.0,0.0
EX_photon490_e,0.0,0.0
EX_photon510_e,0.0,0.0
EX_photon530_e,0.0,0.0
EX_photon550_e,0.0,0.0
EX_photon570_e,0.0,0.0
EX_photon590_e,0.0,0.0
EX_photon610_e,0.0,0.0
EX_photon630_e,0.0,0.0
EX_photon650_e,0.0,0.0
EX_photon670_e,0.0,0.0
EX_photon690_e,0.0,-0.00974540233546677
ZXANHX,0.0,-1.1102230246251565e-16
CXANHX,0.0,-3.3306690738754696e-16
PHOA690um,0.0,0.0
