,ids,growth,status
390,{'FRUpts2pp'},0.7097712093952308,optimal
391,{'AGPATACP_OLE_PALM'},0.7097712093952308,optimal
392,{'GK1'},1.3502750429143472e-14,optimal
393,{'FECRMtonex'},0.7097712093950379,optimal
394,{'METNA'},0.7097712093949974,optimal
395,{'MDDCP5pp'},0.7097712093949974,optimal
396,{'ASPTRS'},0.7097712093949974,optimal
397,{'MCPST'},0.7097712093949974,optimal
398,{'SAMTRI'},0.7097712093949974,optimal
399,{'DHBSZ3FEabcpp'},0.7097712093949974,optimal
400,{'HCO3tcx'},0.7097712093949974,optimal
401,{'ILEtex'},0.7097712093949974,optimal
402,{'CAT'},0.7097712093949974,optimal
403,{'EX_bzf_e'},0.7097712093949974,optimal
404,{'MALTATr'},0.7097712093949974,optimal
405,{'MOAT2'},0.7097712093949974,optimal
406,{'GART'},0.7094731698001129,optimal
407,{'HACD5i'},0.709771209395115,optimal
408,{'LPLIPAL2G180'},0.7097712093949974,optimal
409,{'ALCD19y'},0.7097712093949974,optimal
410,{'LALDO'},0.7097712093949974,optimal
411,{'CONFRLtex'},0.7097712093949974,optimal
412,{'TRE6PH'},0.7097712093949974,optimal
413,{'PCXHtpp'},0.7097712093949974,optimal
414,{'GLYBabcpp'},0.7097712093949974,optimal
415,{'BCAROKE'},0.7097712093949974,optimal
416,{'EX_no3_e'},0.7097712093949974,optimal
417,{'VNDH'},0.7097712093949974,optimal
418,{'ADSL2r'},-1.538167005486954e-12,optimal
419,{'PLIPA1E180'},0.7097712093952031,optimal
420,{'SCYSSL_1'},0.7097712093949974,optimal
421,{'PGMT'},1.753896243428682e-15,optimal
422,{'KDOCT2'},0.7097712093950952,optimal
423,{'PHACTE'},0.7097712093949481,optimal
424,{'EX_amp_e'},0.7097712093949481,optimal
425,{'GRTT'},-7.153739722447135e-14,optimal
426,{'THISAT'},1.4310476365435357e-29,optimal
427,{'LPD5'},0.7097712093951205,optimal
428,{'GLYOX'},0.7097712093950246,optimal
429,{'GLUSfx'},0.7097712093950246,optimal
