compartment,formula,member_count,metabolite_ids,metabolite_id_name_pairs,new
c,C9H11N3O9P,2,5aizc_c | 5caiz_c,5aizc_c:5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate | 5caiz_c:5-phosphoribosyl-5-carboxyaminoimidazole,
c,C9H11NO6,2,nal2a6o_c | sucgsa_c,nal2a6o_c:N-Acetyl-L-2-amino-6-oxopimelate | sucgsa_c:N2-Succinyl-L-glutamate 5-semialdehyde,
c,C9H13N5O4,2,dhmpt_c | dhnpt_c,dhmpt_c:Dihydromonapterin | dhnpt_c:Dihydroneopterin,
c,C9H14N5O8P,2,25dhpp_c | 25drapp_c,"25dhpp_c:2 5 Diamino 6 hydroxy 4  5  phosphoribosylamino  pyrimidine C9H14N5O8P | 25drapp_c:2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate",
c,C9H15N2O5,2,n6all26d_c | sucorn_c,"n6all26d_c:N6-Acetyl-LL-2,6-diaminoheptanedioate | sucorn_c:N2-Succinyl-L-ornithine",
c,C9H7O3,2,T4hcinnm_c | phpyr_c,T4hcinnm_c:Trans 4 Hydroxycinnamate C9H7O3 | phpyr_c:Phenylpyruvate,
c,C9H7O4,3,34dhcinm_c | 34hpp_c | dhcinnm_c,"34dhcinm_c:3,4-Dihydroxy-trans-cinnamate | 34hpp_c:3-(4-Hydroxyphenyl)pyruvate | dhcinnm_c:2,3-dihydroxicinnamic acid",
c,C9H8O6,2,2h6kd_c | hkndd_c,"2h6kd_c:2-Hydroxy-6-ketononatrienedioate | hkndd_c:2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate",
c,C9H9O4,2,cenchddd_c | dhpppn_c,"cenchddd_c:Cis-3-(3-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol | dhpppn_c:3-(2,3-Dihydroxyphenyl)propanoate",
c,CHO3,2,hco3_c | hco3_cx_c,hco3_c:Bicarbonate | hco3_cx_c:Bicarbonate,hco3_c
c,CO,2,co_c | cobalt2_c,co_c:Carbon monoxide | cobalt2_c:Co2+,
c,CO2,2,co2_c | co2_cx_c,co2_c:CO2 CO2 | co2_cx_c:CO2 CO2,co2_c
c,CU,2,cu2_c | cu_c,cu2_c:Copper | cu_c:Cu+,
c,FE,2,fe2_c | fe3_c,fe2_c:Fe2+ mitochondria | fe3_c:Fe3+,
c,FE8S8X,2,fdxo_42_c | fdxr_42_c,fdxo_42_c:Ferredoxin (oxidized form 4:2) | fdxr_42_c:Ferredoxin (reduced form 4:2),
c,H,2,h_c | h_cx_c,h_c:H+ | h_cx_c:H+,h_c
c,H2O,2,h2o_c | h2o_cx_c,h2o_c:H2O H2O | h2o_cx_c:H2O H2O,h2o_c
c,HR,20,amylose_c | trnaala_c | trnaarg_c | trnaasn_c | trnaasp_c | trnacys_c | trnagln_c | trnagly_c | trnahis_c | trnaile_c | trnaleu_c | trnalys_c | trnamet_c | trnaphe_c | trnapro_c | trnaser_c | trnathr_c | trnatrp_c | trnatyr_c | trnaval_c,amylose_c:Amylose | trnaala_c:TRNA(Ala) | trnaarg_c:TRNA(Arg) | trnaasn_c:TRNA Asn  C10H17O10PR2 | trnaasp_c:TRNA(Asp) | trnacys_c:TRNA(Cys) | trnagln_c:TRNA(Gln) | trnagly_c:TRNA(Gly) | trnahis_c:TRNA(His) | trnaile_c:TRNA(Ile) | trnaleu_c:TRNA(Leu) | trnalys_c:TRNA(Lys) | trnamet_c:TRNA(Met) | trnaphe_c:TRNA(Phe) | trnapro_c:TRNA(Pro) | trnaser_c:TRNA(Ser) | trnathr_c:TRNA(Thr) | trnatrp_c:TRNA(Trp) | trnatyr_c:TRNA(Tyr) | trnaval_c:TRNA(Val),
c,NONE,11,2m6solbzq_c | asptrna_asn_c | bm_carbs_c | bm_cofactors_c | bm_cw_c | bm_dna_c | bm_memlip_c | bm_pigm_c | bm_pro_c | bm_rna_c | icolipacy_c,"2m6solbzq_c:2-Methyl-6-solanyl-1,4-benzoquinol | asptrna_asn_c:L-Aspartyl-tRNA(Asn) | bm_carbs_c:Biomass metabolite: glycogen and carbohydrates | bm_cofactors_c:Biomass metabolite: cofactors and ions | bm_cw_c:Cell wall component of biomass | bm_dna_c:DNA component of biomass | bm_memlip_c:Lipid component of biomass | bm_pigm_c:Pigment component of biomass | bm_pro_c:Protein component of biomass | bm_rna_c:RNA component of biomass | icolipacy_c:Inner core oligosaccharide lipid A (Synechococcus elongatus 7942)",
c,O2,3,o2_c | o2_cx_c | o2s_c,o2_c:O2 O2 | o2_cx_c:O2 O2 | o2s_c:Superoxide anion,o2_c | o2_cx_c=o2_c
